"","label","levels","v1_az","v2_az"
"1","Sex","F","844842 (52.2)","831577 (51.4)"
"2","","M","772817 (47.8)","786082 (48.6)"
"3","ageYear","Mean (SD)","59.1 (15.0)","59.1 (15.0)"
"4","age_grp","18-64","1099588 (68.0)","1099588 (68.0)"
"5","","65-79","351848 (21.8)","351848 (21.8)"
"6","","80+","166223 (10.3)","166223 (10.3)"
"7","simd2020_sc_quintile","1 - High","296392 (18.3)","284150 (17.6)"
"8","","2","320867 (19.8)","312636 (19.3)"
"9","","3","337429 (20.9)","336613 (20.8)"
"10","","4","336617 (20.8)","339909 (21.0)"
"11","","5-Low","319127 (19.7)","337124 (20.8)"
"12","","Missing","7227 (0.4)","7227 (0.4)"
"13","ur6_2016_name","1 Large Urban Areas","488984 (30.2)","486076 (30.0)"
"14","","2 Other Urban Areas","601681 (37.2)","607435 (37.6)"
"15","","3 Accessible Small Towns","168208 (10.4)","166682 (10.3)"
"16","","4 Remote Small Towns","93923 (5.8)","90981 (5.6)"
"17","","5 Accessible Rural","166178 (10.3)","167501 (10.4)"
"18","","6 Remote Rural","91458 (5.7)","91757 (5.7)"
"19","","Unknown","7227 (0.4)","7227 (0.4)"
"20","n_risk_gps","0","760976 (47.0)","768018 (47.5)"
"21","","1","488853 (30.2)","483334 (29.9)"
"22","","2","219942 (13.6)","214466 (13.3)"
"23","","3","86742 (5.4)","89228 (5.5)"
"24","","4","37051 (2.3)","38285 (2.4)"
"25","","5+","24095 (1.5)","24328 (1.5)"
"26","n_tests_gp","0","1345775 (83.2)","1356395 (83.8)"
"27","","1","190677 (11.8)","187045 (11.6)"
"28","","2","43539 (2.7)","41102 (2.5)"
"29","","3","13817 (0.9)","12955 (0.8)"
"30","","4-9","17282 (1.1)","15017 (0.9)"
"31","","10+","6569 (0.4)","5145 (0.3)"
"32","test_before_dec8","0-6d","1270 (0.1)","1160 (0.1)"
"33","","1m+","14378 (0.9)","14613 (0.9)"
"34","","2w","1308 (0.1)","1213 (0.1)"
"35","","3w","1497 (0.1)","1449 (0.1)"
"36","","4w","1726 (0.1)","1635 (0.1)"
"37","","after-8dec","34677 (2.1)","26989 (1.7)"
"38","","no pos test","1562803 (96.6)","1570600 (97.1)"
"39","ave_hh_age","Mean (SD)","54.8 (17.6)","54.7 (17.7)"
"40","n_hh_gp","1","579529 (35.8)","564907 (34.9)"
"41","","2","557799 (34.5)","561909 (34.7)"
"42","","3-5","450961 (27.9)","462421 (28.6)"
"43","","6-10","28131 (1.7)","27230 (1.7)"
"44","","11-30","1087 (0.1)","1091 (0.1)"
"45","","31-100","128 (0.0)","85 (0.0)"
"46","","101+","24 (0.0)","16 (0.0)"
"47","care_home_elderly","0","1617659 (100.0)","1617659 (100.0)"
"48","bmi_cat","Underweight","15892 (1.0)","15186 (0.9)"
"49","","Normal weight","194967 (12.1)","198013 (12.2)"
"50","","Overweight","1037826 (64.2)","1036229 (64.1)"
"51","","Obese","368974 (22.8)","368231 (22.8)"
"52","EAVE_Smoke","Ex Smoker","274300 (17.0)","277311 (17.1)"
"53","","Non Smoker","622293 (38.5)","626652 (38.7)"
"54","","Smoker","400062 (24.7)","392134 (24.2)"
"55","","Unknown","321004 (19.8)","321562 (19.9)"
"56","Q_DIAG_AF","0","1555017 (96.1)","1551406 (95.9)"
"57","","1","62642 (3.9)","66253 (4.1)"
"58","Q_DIAG_ASTHMA","0","1378776 (85.2)","1396859 (86.4)"
"59","","1","238883 (14.8)","220800 (13.6)"
"60","Q_DIAG_BLOOD_CANCER","0","1607778 (99.4)","1604134 (99.2)"
"61","","1","9881 (0.6)","13525 (0.8)"
"62","Q_DIAG_CCF","0","1589128 (98.2)","1588076 (98.2)"
"63","","1","28531 (1.8)","29583 (1.8)"
"64","Q_DIAG_CEREBRALPALSY","0","1615217 (99.8)","1613853 (99.8)"
"65","","1","2442 (0.2)","3806 (0.2)"
"66","Q_DIAG_CHD","0","1506611 (93.1)","1496038 (92.5)"
"67","","1","111048 (6.9)","121621 (7.5)"
"68","Q_DIAG_CIRRHOSIS","0","1605157 (99.2)","1604744 (99.2)"
"69","","1","12502 (0.8)","12915 (0.8)"
"70","Q_DIAG_CONGEN_HD","0","1600146 (98.9)","1595558 (98.6)"
"71","","1","17513 (1.1)","22101 (1.4)"
"72","Q_DIAG_COPD","0","1545456 (95.5)","1535628 (94.9)"
"73","","1","72203 (4.5)","82031 (5.1)"
"74","Q_DIAG_DEMENTIA","0","1599635 (98.9)","1602583 (99.1)"
"75","","1","18024 (1.1)","15076 (0.9)"
"76","Q_DIAG_DIABETES_1","0","1609550 (99.5)","1604062 (99.2)"
"77","","1","8109 (0.5)","13597 (0.8)"
"78","Q_DIAG_DIABETES_2","0","1484477 (91.8)","1464514 (90.5)"
"79","","1","133182 (8.2)","153145 (9.5)"
"80","Q_DIAG_EPILEPSY","0","1579352 (97.6)","1580165 (97.7)"
"81","","1","38307 (2.4)","37494 (2.3)"
"82","Q_DIAG_FRACTURE","0","1517199 (93.8)","1530208 (94.6)"
"83","","1","100460 (6.2)","87451 (5.4)"
"84","Q_DIAG_NEURO","0","1610118 (99.5)","1606018 (99.3)"
"85","","1","7541 (0.5)","11641 (0.7)"
"86","Q_DIAG_PARKINSONS","0","1612096 (99.7)","1612195 (99.7)"
"87","","1","5563 (0.3)","5464 (0.3)"
"88","Q_DIAG_PULM_HYPER","0","1612313 (99.7)","1611883 (99.6)"
"89","","1","5346 (0.3)","5776 (0.4)"
"90","Q_DIAG_PULM_RARE","0","1606134 (99.3)","1602905 (99.1)"
"91","","1","11525 (0.7)","14754 (0.9)"
"92","Q_DIAG_PVD","0","1591160 (98.4)","1591754 (98.4)"
"93","","1","26499 (1.6)","25905 (1.6)"
"94","Q_DIAG_RA_SLE","0","1593410 (98.5)","1589011 (98.2)"
"95","","1","24249 (1.5)","28648 (1.8)"
"96","Q_DIAG_RESP_CANCER","0","1611366 (99.6)","1611216 (99.6)"
"97","","1","6293 (0.4)","6443 (0.4)"
"98","Q_DIAG_SEV_MENT_ILL","0","1334098 (82.5)","1381098 (85.4)"
"99","","1","283561 (17.5)","236561 (14.6)"
"100","Q_DIAG_SICKLE_CELL","0","1616350 (99.9)","1615945 (99.9)"
"101","","1","1309 (0.1)","1714 (0.1)"
"102","Q_DIAG_STROKE","0","1548468 (95.7)","1545313 (95.5)"
"103","","1","69191 (4.3)","72346 (4.5)"
"104","Q_DIAG_VTE","0","1572661 (97.2)","1572486 (97.2)"
"105","","1","44998 (2.8)","45173 (2.8)"
"106","Q_HOME_CAT","0","1613713 (99.8)","1614491 (99.8)"
"107","","1","2245 (0.1)","2098 (0.1)"
"108","","2","1701 (0.1)","1070 (0.1)"
"109","Q_LEARN_CAT","0","1586475 (98.1)","1587619 (98.1)"
"110","","1","30872 (1.9)","28936 (1.8)"
"111","","2","312 (0.0)","1104 (0.1)"
"112","Q_DIAG_CKD_LEVEL","0","1521500 (94.1)","1517174 (93.8)"
"113","","3","90954 (5.6)","93838 (5.8)"
"114","","4","3483 (0.2)","3837 (0.2)"
"115","","5","1722 (0.1)","2810 (0.2)"
