"","label","levels","v1","v2"
"1","Total N (%)","","2404493 (50.0)","2404493 (50.0)"
"2","Sex","F","1322421 (55.0)","1312068 (54.6)"
"3","","M","1082072 (45.0)","1092425 (45.4)"
"4","ageYear","Mean (SD)","57.9 (15.5)","57.9 (15.5)"
"5","age_grp","18-64","1573184 (65.4)","1573184 (65.4)"
"6","","65-79","648070 (27.0)","648070 (27.0)"
"7","","80+","183239 (7.6)","183239 (7.6)"
"8","simd2020_sc_quintile","1 - High","444428 (18.5)","427480 (17.8)"
"9","","2","473435 (19.7)","466002 (19.4)"
"10","","3","493766 (20.5)","492615 (20.5)"
"11","","4","505047 (21.0)","508795 (21.2)"
"12","","5-Low","477310 (19.9)","499094 (20.8)"
"13","","Missing","10507 (0.4)","10507 (0.4)"
"14","ur6_2016_name","1 Large Urban Areas","735558 (30.6)","732694 (30.5)"
"15","","2 Other Urban Areas","906358 (37.7)","917045 (38.1)"
"16","","3 Accessible Small Towns","249293 (10.4)","243373 (10.1)"
"17","","4 Remote Small Towns","130546 (5.4)","129197 (5.4)"
"18","","5 Accessible Rural","236766 (9.8)","235372 (9.8)"
"19","","6 Remote Rural","135465 (5.6)","136305 (5.7)"
"20","","Unknown","10507 (0.4)","10507 (0.4)"
"21","n_risk_gps","0","1171741 (48.7)","1185594 (49.3)"
"22","","1","720387 (30.0)","712682 (29.6)"
"23","","2","310595 (12.9)","303606 (12.6)"
"24","","3","120591 (5.0)","121541 (5.1)"
"25","","4","49909 (2.1)","50313 (2.1)"
"26","","5+","31270 (1.3)","30757 (1.3)"
"27","n_tests_gp","0","1952640 (81.2)","1959809 (81.5)"
"28","","1","299966 (12.5)","297567 (12.4)"
"29","","2","70926 (2.9)","68545 (2.9)"
"30","","3","22245 (0.9)","21577 (0.9)"
"31","","4-9","30833 (1.3)","29474 (1.2)"
"32","","10+","27883 (1.2)","27521 (1.1)"
"33","test_before_dec8","0-6d","2309 (0.1)","2157 (0.1)"
"34","","1m+","26003 (1.1)","28016 (1.2)"
"35","","2w","2238 (0.1)","2154 (0.1)"
"36","","3w","2651 (0.1)","2585 (0.1)"
"37","","4w","3004 (0.1)","2910 (0.1)"
"38","","after-8dec","53405 (2.2)","42414 (1.8)"
"39","","no pos test","2314883 (96.3)","2324257 (96.7)"
"40","ave_hh_age","Mean (SD)","53.8 (17.8)","53.7 (17.9)"
"41","n_hh_gp","1","830200 (34.5)","811506 (33.7)"
"42","","2","837014 (34.8)","843621 (35.1)"
"43","","3-5","692071 (28.8)","705486 (29.3)"
"44","","6-10","43169 (1.8)","41906 (1.7)"
"45","","11-30","1777 (0.1)","1770 (0.1)"
"46","","31-100","219 (0.0)","174 (0.0)"
"47","","101+","43 (0.0)","30 (0.0)"
"48","care_home_elderly","0","2404493 (100.0)","2404493 (100.0)"
"49","bmi_cat","Underweight","22143 (0.9)","21140 (0.9)"
"50","","Normal weight","293886 (12.2)","295661 (12.3)"
"51","","Overweight","1542348 (64.1)","1544028 (64.2)"
"52","","Obese","546116 (22.7)","543664 (22.6)"
"53","EAVE_Smoke","Ex Smoker","400768 (16.7)","404888 (16.8)"
"54","","Non Smoker","934841 (38.9)","944387 (39.3)"
