"","label","levels","uv_az","vacc_az"
"1","event","0","938482 (99.9)","938698 (100.0)"
"2","","1","525 (0.1)","309 (0.0)"
"3","event_hosp","0","938487 (99.9)","938700 (100.0)"
"4","","1","520 (0.1)","307 (0.0)"
"5","event_death","0","938990 (100.0)","938977 (100.0)"
"6","","1","17 (0.0)","30 (0.0)"
"7","Sex","F","471528 (50.2)","474885 (50.6)"
"8","","M","467479 (49.8)","464122 (49.4)"
"9","ageYear","Mean (SD)","56.3 (15.8)","56.3 (15.8)"
"10","age_grp","18-64","679814 (72.4)","679814 (72.4)"
"11","","65-79","172840 (18.4)","172840 (18.4)"
"12","","80+","86353 (9.2)","86353 (9.2)"
"13","simd2020_sc_quintile","1 - High","168378 (17.9)","171496 (18.3)"
"14","","2","183221 (19.5)","183228 (19.5)"
"15","","3","191592 (20.4)","191815 (20.4)"
"16","","4","197796 (21.1)","193468 (20.6)"
"17","","5-Low","193102 (20.6)","194082 (20.7)"
"18","","Missing","4918 (0.5)","4918 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","288975 (30.8)","290450 (30.9)"
"20","","2 Other Urban Areas","355173 (37.8)","356078 (37.9)"
"21","","3 Accessible Small Towns","94761 (10.1)","94115 (10.0)"
"22","","4 Remote Small Towns","49452 (5.3)","50507 (5.4)"
"23","","5 Accessible Rural","96407 (10.3)","93466 (10.0)"
"24","","6 Remote Rural","49321 (5.3)","49473 (5.3)"
"25","","Unknown","4918 (0.5)","4918 (0.5)"
"26","n_risk_gps","0","477582 (50.9)","468887 (49.9)"
"27","","1","275800 (29.4)","275904 (29.4)"
"28","","2","112383 (12.0)","114857 (12.2)"
"29","","3","43300 (4.6)","46217 (4.9)"
"30","","4","18107 (1.9)","20155 (2.1)"
"31","","5+","11835 (1.3)","12987 (1.4)"
"32","n_tests_gp","0","784757 (83.6)","782841 (83.4)"
"33","","1","111576 (11.9)","113263 (12.1)"
"34","","2","24116 (2.6)","24606 (2.6)"
"35","","3","7192 (0.8)","7336 (0.8)"
"36","","4-9","8157 (0.9)","8090 (0.9)"
"37","","10+","3209 (0.3)","2871 (0.3)"
"38","EAVE_Smoke","Ex Smoker","152080 (16.2)","152630 (16.3)"
"39","","Non Smoker","364738 (38.8)","362430 (38.6)"
"40","","Smoker","221962 (23.6)","227718 (24.3)"
"41","","Unknown","200227 (21.3)","196229 (20.9)"
"42","bmi_cat","Underweight","8760 (0.9)","9049 (1.0)"
"43","","Normal weight","111592 (11.9)","114919 (12.2)"
"44","","Overweight","620905 (66.1)","615136 (65.5)"
"45","","Obese","197750 (21.1)","199903 (21.3)"
