"","label","levels","uv","vacc"
"1","event","0","1649197 (99.9)","1649647 (100.0)"
"2","","1","988 (0.1)","538 (0.0)"
"3","event_hosp","0","1649206 (99.9)","1649697 (100.0)"
"4","","1","979 (0.1)","488 (0.0)"
"5","event_death","0","1650155 (100.0)","1650079 (100.0)"
"6","","1","30 (0.0)","106 (0.0)"
"7","Sex","F","869330 (52.7)","882734 (53.5)"
"8","","M","780855 (47.3)","767451 (46.5)"
"9","ageYear","Mean (SD)","52.2 (17.5)","52.2 (17.5)"
"10","age_grp","18-64","1219108 (73.9)","1219108 (73.9)"
"11","","65-79","332371 (20.1)","332371 (20.1)"
"12","","80+","98706 (6.0)","98706 (6.0)"
"13","simd2020_sc_quintile","1 - High","301411 (18.3)","302001 (18.3)"
"14","","2","322725 (19.6)","322966 (19.6)"
"15","","3","335674 (20.3)","332503 (20.1)"
"16","","4","347146 (21.0)","344699 (20.9)"
"17","","5-Low","334177 (20.3)","338964 (20.5)"
"18","","Missing","9052 (0.5)","9052 (0.5)"
"19","ur6_2016_name","1 Large Urban Areas","517652 (31.4)","518482 (31.4)"
"20","","2 Other Urban Areas","626931 (38.0)","635253 (38.5)"
"21","","3 Accessible Small Towns","163730 (9.9)","160099 (9.7)"
"22","","4 Remote Small Towns","84255 (5.1)","83847 (5.1)"
"23","","5 Accessible Rural","160316 (9.7)","155071 (9.4)"
"24","","6 Remote Rural","88249 (5.3)","88381 (5.4)"
"25","","Unknown","9052 (0.5)","9052 (0.5)"
"26","n_risk_gps","0","904871 (54.8)","897852 (54.4)"
"27","","1","460777 (27.9)","465095 (28.2)"
"28","","2","174530 (10.6)","175577 (10.6)"
"29","","3","65966 (4.0)","66657 (4.0)"
"30","","4","27026 (1.6)","27728 (1.7)"
"31","","5+","17015 (1.0)","17276 (1.0)"
"32","n_tests_gp","0","1333867 (80.8)","1326927 (80.4)"
"33","","1","216151 (13.1)","220294 (13.3)"
"34","","2","48229 (2.9)","49523 (3.0)"
"35","","3","14465 (0.9)","14650 (0.9)"
"36","","4-9","19389 (1.2)","19569 (1.2)"
"37","","10+","18084 (1.1)","19222 (1.2)"
"38","EAVE_Smoke","Ex Smoker","243230 (14.7)","244485 (14.8)"
"39","","Non Smoker","653347 (39.6)","657048 (39.8)"
"40","","Smoker","367504 (22.3)","369342 (22.4)"
"41","","Unknown","386104 (23.4)","379310 (23.0)"
"42","bmi_cat","Underweight","15778 (1.0)","15787 (1.0)"
"43","","Normal weight","205720 (12.5)","209114 (12.7)"
"44","","Overweight","1103916 (66.9)","1098356 (66.6)"
"45","","Obese","324771 (19.7)","326928 (19.8)"
"46","ave_hh_age","Mean (SD)","48.5 (18.8)","48.4 (18.9)"
"47","n_hh_gp","1","523102 (31.7)","516518 (31.3)"
"48","","2","522962 (31.7)","525346 (31.8)"
"49","","3-5","564141 (34.2)","568228 (34.4)"
"50","","6-10","37963 (2.3)","38113 (2.3)"
"51","","11-30","1561 (0.1)","1564 (0.1)"
"52","","31-100","248 (0.0)","249 (0.0)"
"53","","101+","208 (0.0)","167 (0.0)"
"54","Q_DIAG_AF","0","1604360 (97.2)","1602022 (97.1)"
"55","","1","45825 (2.8)","48163 (2.9)"
"56","Q_DIAG_ASTHMA","0","1410706 (85.5)","1425159 (86.4)"
"57","","1","239479 (14.5)","225026 (13.6)"
"58","Q_DIAG_BLOOD_CANCER","0","1642254 (99.5)","1639632 (99.4)"
"59","","1","7931 (0.5)","10553 (0.6)"
"60","Q_DIAG_CCF","0","1629178 (98.7)","1628838 (98.7)"
"61","","1","21007 (1.3)","21347 (1.3)"
"62","Q_DIAG_CEREBRALPALSY","0","1648252 (99.9)","1647304 (99.8)"
"63","","1","1933 (0.1)","2881 (0.2)"
"64","Q_DIAG_CHD","0","1563863 (94.8)","1557496 (94.4)"
"65","","1","86322 (5.2)","92689 (5.6)"
