"","label","levels","uv_pb","vacc_pb"
"1","event","0","710618 (99.9)","710852 (100.0)"
"2","","1","463 (0.1)","229 (0.0)"
"3","event_hosp","0","710622 (99.9)","710900 (100.0)"
"4","","1","459 (0.1)","181 (0.0)"
"5","event_death","0","711068 (100.0)","711005 (100.0)"
"6","","1","13 (0.0)","76 (0.0)"
"7","Sex","F","397742 (55.9)","407793 (57.3)"
"8","","M","313339 (44.1)","303288 (42.7)"
"9","ageYear","Mean (SD)","46.7 (18.1)","46.7 (18.1)"
"10","age_grp","18-64","539244 (75.8)","539244 (75.8)"
"11","","65-79","159492 (22.4)","159492 (22.4)"
"12","","80+","12345 (1.7)","12345 (1.7)"
"13","simd2020_sc_quintile","1 - High","133006 (18.7)","130487 (18.4)"
"14","","2","139489 (19.6)","139720 (19.6)"
"15","","3","144065 (20.3)","140666 (19.8)"
"16","","4","149329 (21.0)","151212 (21.3)"
"17","","5-Low","141058 (19.8)","144862 (20.4)"
"18","","Missing","4134 (0.6)","4134 (0.6)"
"19","ur6_2016_name","1 Large Urban Areas","228634 (32.2)","227992 (32.1)"
"20","","2 Other Urban Areas","271732 (38.2)","279150 (39.3)"
"21","","3 Accessible Small Towns","68959 (9.7)","65977 (9.3)"
"22","","4 Remote Small Towns","34796 (4.9)","33329 (4.7)"
"23","","5 Accessible Rural","63905 (9.0)","61596 (8.7)"
"24","","6 Remote Rural","38921 (5.5)","38903 (5.5)"
"25","","Unknown","4134 (0.6)","4134 (0.6)"
"26","n_risk_gps","0","427254 (60.1)","428926 (60.3)"
"27","","1","184946 (26.0)","189158 (26.6)"
"28","","2","62125 (8.7)","60706 (8.5)"
"29","","3","22661 (3.2)","20434 (2.9)"
"30","","4","8916 (1.3)","7572 (1.1)"
"31","","5+","5179 (0.7)","4285 (0.6)"
"32","n_tests_gp","0","549033 (77.2)","544021 (76.5)"
"33","","1","104562 (14.7)","107019 (15.1)"
"34","","2","24110 (3.4)","24910 (3.5)"
"35","","3","7270 (1.0)","7312 (1.0)"
"36","","4-9","11231 (1.6)","11475 (1.6)"
"37","","10+","14875 (2.1)","16344 (2.3)"
"38","EAVE_Smoke","Ex Smoker","91131 (12.8)","91836 (12.9)"
"39","","Non Smoker","288573 (40.6)","294582 (41.4)"
"40","","Smoker","145515 (20.5)","141597 (19.9)"
"41","","Unknown","185862 (26.1)","183066 (25.7)"
"42","bmi_cat","Underweight","7015 (1.0)","6738 (0.9)"
"43","","Normal weight","94112 (13.2)","94183 (13.2)"
"44","","Overweight","482953 (67.9)","483156 (67.9)"
"45","","Obese","127001 (17.9)","127004 (17.9)"
"46","ave_hh_age","Mean (SD)","44.2 (18.5)","44.1 (18.5)"
"47","n_hh_gp","1","205771 (28.9)","202691 (28.5)"
"48","","2","218594 (30.7)","220404 (31.0)"
"49","","3-5","267128 (37.6)","268175 (37.7)"
"50","","6-10","18599 (2.6)","18801 (2.6)"
"51","","11-30","769 (0.1)","778 (0.1)"
"52","","31-100","126 (0.0)","150 (0.0)"
"53","","101+","94 (0.0)","82 (0.0)"
"54","Q_DIAG_AF","0","696987 (98.0)","697309 (98.1)"
"55","","1","14094 (2.0)","13772 (1.9)"
"56","Q_DIAG_ASTHMA","0","612690 (86.2)","612824 (86.2)"
"57","","1","98391 (13.8)","98257 (13.8)"
"58","Q_DIAG_BLOOD_CANCER","0","708018 (99.6)","708086 (99.6)"
"59","","1","3063 (0.4)","2995 (0.4)"
"60","Q_DIAG_CCF","0","704433 (99.1)","705309 (99.2)"
"61","","1","6648 (0.9)","5772 (0.8)"
"62","Q_DIAG_CEREBRALPALSY","0","710259 (99.9)","710447 (99.9)"
"63","","1","822 (0.1)","634 (0.1)"
"64","Q_DIAG_CHD","0","681556 (95.8)","681658 (95.9)"
"65","","1","29525 (4.2)","29423 (4.1)"
"66","Q_DIAG_CIRRHOSIS","0","707291 (99.5)","707518 (99.5)"
"67","","1","3790 (0.5)","3563 (0.5)"
"68","Q_DIAG_CONGEN_HD","0","705766 (99.3)","705434 (99.2)"
"69","","1","5315 (0.7)","5647 (0.8)"
"70","Q_DIAG_COPD","0","689930 (97.0)","693391 (97.5)"
"71","","1","21151 (3.0)","17690 (2.5)"
"72","Q_DIAG_DEMENTIA","0","708219 (99.6)","707051 (99.4)"
"73","","1","2862 (0.4)","4030 (0.6)"
"74","Q_DIAG_DIABETES_1","0","708158 (99.6)","707809 (99.5)"
"75","","1","2923 (0.4)","3272 (0.5)"
"76","Q_DIAG_DIABETES_2","0","670678 (94.3)","670521 (94.3)"
"77","","1","40403 (5.7)","40560 (5.7)"
"78","Q_DIAG_EPILEPSY","0","702057 (98.7)","704071 (99.0)"
"79","","1","9024 (1.3)","7010 (1.0)"
"80","Q_DIAG_FRACTURE","0","681093 (95.8)","682034 (95.9)"
"81","","1","29988 (4.2)","29047 (4.1)"
"82","Q_DIAG_NEURO","0","708277 (99.6)","708550 (99.6)"
"83","","1","2804 (0.4)","2531 (0.4)"
"84","Q_DIAG_PARKINSONS","0","709743 (99.8)","709846 (99.8)"
"85","","1","1338 (0.2)","1235 (0.2)"
"86","Q_DIAG_PULM_HYPER","0","709924 (99.8)","710305 (99.9)"
"87","","1","1157 (0.2)","776 (0.1)"
"88","Q_DIAG_PULM_RARE","0","707646 (99.5)","708098 (99.6)"
"89","","1","3435 (0.5)","2983 (0.4)"
"90","Q_DIAG_PVD","0","704503 (99.1)","705031 (99.1)"
"91","","1","6578 (0.9)","6050 (0.9)"
"92","Q_DIAG_RA_SLE","0","703605 (98.9)","704027 (99.0)"
"93","","1","7476 (1.1)","7054 (1.0)"
"94","Q_DIAG_RESP_CANCER","0","709475 (99.8)","709788 (99.8)"
"95","","1","1606 (0.2)","1293 (0.2)"
"96","Q_DIAG_SEV_MENT_ILL","0","623442 (87.7)","627024 (88.2)"
"97","","1","87639 (12.3)","84057 (11.8)"
"98","Q_DIAG_SICKLE_CELL","0","710640 (99.9)","710597 (99.9)"
"99","","1","441 (0.1)","484 (0.1)"
"100","Q_DIAG_STROKE","0","693881 (97.6)","694952 (97.7)"
"101","","1","17200 (2.4)","16129 (2.3)"
"102","Q_DIAG_VTE","0","700149 (98.5)","701820 (98.7)"
"103","","1","10932 (1.5)","9261 (1.3)"
"104","Q_HOME_CAT","0","709787 (99.8)","708118 (99.6)"
"105","","1","859 (0.1)","2651 (0.4)"
"106","","2","435 (0.1)","312 (0.0)"
"107","Q_LEARN_CAT","0","700551 (98.5)","702437 (98.8)"
"108","","1","10342 (1.5)","8430 (1.2)"
"109","","2","188 (0.0)","214 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","690069 (97.0)","690551 (97.1)"
"111","","3","19610 (2.8)","19172 (2.7)"
"112","","4","758 (0.1)","650 (0.1)"
